Date,Open,High,Low,Close,Adj Close,Volume
9/22/14,92.699997,92.949997,89.5,89.889999,89.889999,66657800
9/23/14,88.940002,90.480003,86.620003,87.169998,87.169998,39009800
9/24/14,88.470001,90.57,87.220001,90.57,90.57,32088000
9/25/14,91.089996,91.5,88.5,88.919998,88.919998,28598000
9/26/14,89.730003,90.459999,88.660004,90.459999,90.459999,18340000
9/29/14,89.620003,89.699997,88.019997,88.75,88.75,25302000
9/30/14,89,90.879997,88.459999,88.849998,88.849998,24419400
10/1/14,88.699997,88.940002,86.040001,86.099998,86.099998,24029600
10/2/14,86.269997,88.199997,85.611,87.059998,87.059998,21469700
10/3/14,88.099998,89.940002,87.650002,88.099998,88.099998,18485700
10/6/14,89.150002,89.650002,88.059998,88.309998,88.309998,9268400
10/7/14,87.949997,89.699997,87.059998,87.669998,87.669998,12791700
10/8/14,88,88.5,87.059998,88.300003,88.300003,10252600
10/9/14,88.510002,90.349998,88,88.790001,88.790001,21507000
10/10/14,88.25,88.739998,85.239998,85.879997,85.879997,15431400
10/13/14,86.849998,86.889999,84.919998,85.120003,85.120003,14845000
10/14/14,85.809998,85.879997,83.220001,84.949997,84.949997,15559200
10/15/14,84.040001,86.489998,82.809998,85.599998,85.599998,16824300
10/16/14,84.980003,89.175003,84.014999,88.849998,88.849998,15232000
10/17/14,90.400002,90.900002,87.669998,87.910004,87.910004,17360700
10/20/14,88,89.5,87.860001,88.260002,88.260002,9891400
10/21/14,89.099998,92.5,88.5,90.900002,90.900002,23243800
10/22/14,92.25,93.5,91.010002,91.629997,91.629997,20364500
10/23/14,92.919998,94.699997,92.82,94.449997,94.449997,20641000
10/24/14,95.07,98,94.779999,95.760002,95.760002,32132600
10/27/14,97,98.849998,96.300003,97.790001,97.790001,28302400
10/28/14,99.839996,100.669998,98.610001,99.68,99.68,32127600
10/29/14,99.879997,100,96.82,98.309998,98.309998,28655400
10/30/14,98.480003,99.440002,97.300003,98.730003,98.730003,15484600
10/31/14,100.099998,100.220001,98.136002,98.599998,98.599998,18128300
11/3/14,99.669998,102.800003,99.050003,101.800003,101.800003,40883700
11/4/14,100.425003,106.359001,99.510002,106.07,106.07,67814000
11/5/14,108.480003,110.139999,106.480003,108.669998,108.669998,48344000
11/6/14,109.300003,111.699997,107.209999,111.57,111.57,33609000
11/7/14,112.93,114.769997,111.75,114.559998,114.559998,51457000
11/10/14,117.269997,119.449997,115.199997,119.150002,119.150002,75971000
11/11/14,117.25,117.550003,113.690002,114.540001,114.540001,70983600
11/12/14,115.050003,119.07,114.019997,118.199997,118.199997,53908000
11/13/14,119.300003,120,114.550003,114.839996,114.839996,62163000
11/14/14,115.059998,115.389999,113.349998,115.099998,115.099998,29849000
11/17/14,115.440002,115.629997,113.129997,114.25,114.25,22573000
11/18/14,114.330002,114.379997,110.410004,110.809998,110.809998,41098000
11/19/14,109.830002,110.68,107.220001,108.82,108.82,46841000
11/20/14,107.809998,112.440002,107.260002,109.82,109.82,36489000
11/21/14,113.209999,113.5,110.434998,110.730003,110.730003,27432000
11/24/14,112,113.93,111.550003,113.919998,113.919998,20646000
11/25/14,114.940002,115.169998,112.330002,113.470001,113.470001,23485000
